затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	0.29	0.42	0.28	0.46	0.43	0.22	0.88	0.22	0.58	0.78
затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	0.18	0.23	0.18	0.25	0.42	0.69	0.23	0.31	0.72	0.69
небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	0.22	0.23	0.32	0.52	0.29	0.48	0.75	0.19	0.26	0.63
формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	0.45	0.55	0.31	0.32	0.37	0.21	0.82	0.23	0.75	0.55
відмова команди виконавців від CASE-засобів розроблення ПЗ;	0.42	0.54	0.18	0.37	0.40	0.20	0.33	0.34	0.61	0.18
неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	0.35	0.44	0.21	0.35	0.41	0.34	0.20	0.29	0.65	0.82
неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	0.60	0.24	0.14	0.24	0.26	0.54	0.73	0.35	0.39	0.50
недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	0.46	0.53	0.26	0.50	0.42	0.48	0.65	0.25	0.60	0.41
програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	0.64	0.71	0.33	0.49	0.31	0.23	0.56	0.28	0.93	0.69
швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	0.59	0.68	0.17	0.38	0.24	0.70	0.31	0.25	0.80	0.26
поява дефектних системних компонент, які використовують для розроблення ПЗ;	0.47	0.31	0.31	0.39	0.38	0.43	0.61	0.19	0.19	0.48
недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	0.36	0.49	0.24	0.44	0.18	0.63	0.16	0.27	0.17	0.30
фінансові ускладнення у компанії-замовника ПЗ;	0.42	0.63	0.20	0.12	0.10	0.12	0.69	0.28	0.72	0.77
фінансові ускладнення у компанії-розробника ПЗ;	0.30	0.50	0.14	0.27	0.32	0.37	0.26	0.37	0.41	0.66
змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	0.09	0.14	0.13	0.26	0.31	0.39	0.36	0.10	0.37	0.38
висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	0.32	0.73	0.14	0.40	0.39	0.37	0.41	0.30	0.34	0.60
реорганізація структурних підрозділів у компанії-замовника ПЗ;	0.22	0.20	0.18	0.37	0.23	0.56	0.72	0.13	0.80	0.68
реорганізація команди виконавців у компанії-розробника ПЗ;	0.47	0.47	0.19	0.40	0.27	0.17	0.52	0.24	0.57	0.48
зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	0.42	0.53	0.30	0.50	0.19	0.52	0.19	0.25	0.85	0.59
порушення графіка виконання робіт з боку компанії-розробника ПЗ;	0.28	0.31	0.25	0.17	0.16	0.43	0.43	0.22	0.41	0.81
потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	0.22	0.46	0.29	0.36	0.27	0.27	0.90	0.24	0.93	0.96
потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	0.27	0.65	0.28	0.37	0.36	0.33	0.79	0.34	0.56	0.93
потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	0.35	0.39	0.28	0.48	0.31	0.49	0.75	0.32	0.81	0.64
недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	0.39	0.65	0.35	0.54	0.27	0.56	0.80	0.29	0.34	0.48
остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	0.57	0.69	0.27	0.48	0.28	0.38	0.73	0.28	0.27	0.38
поява на ринку аналогічного ПЗ до виходу замовленого;	0.73	0.66	0.20	0.42	0.37	0.26	0.84	0.32	0.56	0.59
поява на ринку більш конкурентоздатного ПЗ;	0.69	0.71	0.24	0.39	0.23	0.44	0.23	0.38	0.95	0.84
низький моральний стан персоналу команди виконавців ПЗ;	0.62	0.33	0.27	0.18	0.45	0.67	0.84	0.33	0.52	0.82
низька взаємодія між членами команди виконавців ПЗ;	0.35	0.44	0.31	0.41	0.41	0.29	0.92	0.34	0.45	0.40
пасивність керівника (менеджера) програмного проекту;	0.51	0.26	0.24	0.50	0.32	0.57	0.55	0.28	0.84	0.50
недостатня компетентність керівника (менеджера) програмного проекту;	0.63	0.39	0.23	0.15	0.37	0.35	0.37	0.26	0.71	0.63
незадоволеність замовника результатами етапів реалізації програмного проекту;	0.15	0.54	0.25	0.17	0.29	0.56	0.49	0.27	0.36	0.69
недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	0.64	0.26	0.12	0.45	0.34	0.12	0.15	0.22	0.47	0.59
хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	0.34	0.65	0.21	0.39	0.25	0.20	0.89	0.11	0.52	0.44
одночасна хвороба декількох виконавців підчас розроблення ПЗ;	0.32	0.29	0.33	0.31	0.28	0.42	0.90	0.27	0.35	0.88
неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	0.28	0.77	0.35	0.51	0.40	0.31	0.85	0.37	0.62	0.56
зміна пріоритетів у процесі управління програмним проектом;	0.38	0.40	0.32	0.45	0.33	0.50	0.20	0.19	0.69	0.15
недо(пере)оцінювання необхідної кількості розробників (підрядників і субпідрядників) на етапах життєвого циклу розроблення ПЗ;	0.55	0.21	0.18	0.44	0.31	0.09	0.78	0.11	0.22	0.80
недостатнє (надмірне) документування результатів на етапах реалізації програмного проекту;	0.33	0.31	0.26	0.40	0.43	0.27	0.95	0.38	0.63	0.80
нереалістичне прогнозування результатів на етапах реалізації програмного проекту;	0.55	0.57	0.33	0.41	0.19	0.47	0.79	0.20	0.57	0.78
недостатній професійний рівень представників від компанії-замовника ПЗ.	0.19	0.42	0.31	0.27	0.45	0.48	0.42	0.30	0.71	0.91
