				
	Етап 1. Ідентифікація ризиків розроблення ПЗ			
			ЕСЛИ(СЛЧИС()>0,5;1;0)	
	1.1. Визначення можливих джерел появи ризиків			
			0	
	1	Множина джерел появи технічних ризиків	4.09	22.74%
	1	 функціональні характеристики ПЗ,	0.85	
	2	 характеристики якості ПЗ,	0.94	
	3	 характеристики надійності ПЗ,	0.45	
	4	 застосовність ПЗ,	0.45	
	5	 часова продуктивність ПЗ,	0.55	
	6	 супроводжуваність ПЗ,	0.72	
	7	 повторне використання компонент ПЗ;	0.13	
	2	Множина джерел появи вартісних ризиків	1.12	6.21%
	1	 обмеження сумарного бюджету на програмний проект,	0.91	
	2	 недоступна вартість реалізації програмного проекту,	0.12	
	3	низька ступінь реалізму при оцінюванні витрат на програмний проект;	0.09	
	3	Множина джерел появи планових ризиків	1.90	10.53%
	1	 властивості та можливості гнучкості внесення змін до планів життєвого циклу розроблення ПЗ,	0.23	
	2	 можливості порушення встановлених термінів реалізації етапів життєвого циклу розроблення ПЗ,	0.71	
	3	 низька ступінь реалізму при встановленні планів і етапів життєвого циклу розроблення ПЗ;	0.95	
	4	Множина джерел появи ризиків реалізації процесу управління програмним проектом	3.42	19.00%
	1	 хибна стратегія реалізації програмного проекту,	0.47	
	2	 неефективне планування проекту розроблення ПЗ,	0.56	
	3	 неякісне оцінювання програмного проекту,	0.72	
	4	 прогалини в документуванні етапів реалізації програмного проекту,	0.97	
	5	 промахи в прогнозуванні результатів реалізації програмного проекту.	0.69	
			18.00	58.49%
				
	1.2. Ідентифікація потенційних ризикових подій		2	
	1	Множина настання технічних ризикових подій	6.04	14.73%
	1	 затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	0.98	
	2	 затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	0.75	
	3	 небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	0.56	
	4	 формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	0.30	
	5	 відмова команди виконавців від CASE-засобів розроблення ПЗ;	0.64	
	6	 неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	0.54	
	7	 неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	0.35	
	8	 недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	0.40	
	9	 програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	0.51	
	10	 швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	0.35	
	11	 поява дефектних системних компонент, які використовують для розроблення ПЗ;	0.67	
	2	Множина настання вартісних ризикових подій	3.64	8.88%
	1	 недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	0.43	
	2	 фінансові ускладнення у компанії-замовника ПЗ;	0.39	
	3	 фінансові ускладнення у компанії-розробника ПЗ;	0.72	
	4	змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	0.90	
	5	 висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	0.40	
	6	 реорганізація структурних підрозділів у компанії-замовника ПЗ;	0.36	
	7	 реорганізація команди виконавців у компанії-розробника ПЗ;	0.46	
	3	Множина настання планових ризикових подій	4.53	11.05%
	1	 зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	0.35	
	2	 порушення графіка виконання робіт з боку компанії-розробника ПЗ;	0.71	
	3	 потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	0.30	
	4	 потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	0.65	
	5	 потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	0.27	
	6	недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	0.23	
	7	 остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	0.45	
	8	 поява на ринку аналогічного ПЗ до виходу замовленого;	0.73	
	9	 поява на ринку більш конкурентоздатного ПЗ;	0.85	
	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	8.90	21.70%
	1	 низький моральний стан персоналу команди виконавців ПЗ;	0.28	
	2	 низька взаємодія між членами команди виконавців ПЗ;	0.59	
	3	 пасивність керівника (менеджера) програмного проекту;	0.95	
	4	 недостатня компетентність керівника (менеджера) програмного проекту;	0.68	
	5	 незадоволеність замовника результатами етапів реалізації програмного проекту;	0.27	
	6	 недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	0.42	
	7	 хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	0.92	
	8	 одночасна хвороба декількох виконавців підчас розроблення ПЗ;	0.64	
	9	 неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	0.66	
	10	 зміна пріоритетів у процесі управління програмним проектом;	0.42	
	11	недо(пере)оцінювання необхідної кількості розробників (підрядників і субпідрядників) на етапах життєвого циклу розроблення ПЗ;	0.62	
	12	недостатнє (надмірне) документування результатів на етапах реалізації програмного проекту;	0.96	
	13	 нереалістичне прогнозування результатів на етапах реалізації програмного проекту;	0.78	
	14	 недостатній професійний рівень представників від компанії-замовника ПЗ.	0.70	
			41.00	56.36%
