																																
			6	5																												
			11	5.69	11	8	8	6	6	6	10	8	10	9																		
			7	5.39	6	10	9	6	11	10	7	5	5	9																		
			9	7.11	10	7	7	10	7	9	9	10	8	11																		
			14	5.03	5	8	8	9	9	6	8	11	6	7																		
	Етап 2. Аналіз ризиків розроблення ПЗ																															
	Коефіцієнти вагомості кожного з експертів				Коефіцієнти вагомості кожного за множинами ризиків																											
		 для ймовірності настання ризикових подій			1	2	3	4	5	6	7	8	9	10																		
	1	Множина настання технічних ризикових подій	11		10	8	8	6	6	6	10	8	10	9																		
	2	Множина настання вартісних ризикових подій	7		6	10	9	6	10	10	7	5	5	9																		
	3	Множина настання планових ризикових подій	9		10	7	7	10	7	9	9	10	8	10																		
	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	14		5	8	8	9	9	6	8	10	6	7																		
			41																													
	2.1. Визначення ймовірності настання ризикових подій			0.1	0.61	0.20	0.38	0.15	0.26	0.58	0.25	0.58	0.77	0.71																		
					Оцінки експертів у діапазоні [0...1]											Оцінки експертів з урахуванням їхньої вагомості																
					1	2	3	4	5	6	7	8	9	10	S	1	2	3	4	5	6	7	8	9	10							
					Коефіцієнти вагомості кожного з експертів																						Ймовірність виникнення ризикової події є: 					
0.10	1	Множина настання технічних ризикових подій	11		10	8	8	6	6	6	10	8	10	9	81	0.41	0.27	0.32	0.23	0.28	0.41	0.29	0.51	0.52	0.61	0.395	СЕРЕДНЬОЮ		0.3954			
0.18	1	 затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	1		0.19	0.31	0.49	0.19	0.32	0.48	0.28	0.26	0.50	0.68	0.371	1.86	2.49	3.94	1.15	1.94	2.86	2.78	2.10	5.01	6.16	0.374	СЕРЕДНЬОЮ					
0.19	2	 затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	1		0.21	0.31	0.54	0.32	0.34	0.67	0.32	0.67	0.75	0.71	0.485	2.11	2.52	4.30	1.95	2.02	4.01	3.19	5.36	7.51	6.43	0.487	СЕРЕДНЬОЮ					
0.16	3	 небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	1		0.48	0.35	0.34	0.22	0.18	0.30	0.31	0.39	0.80	0.76	0.412	4.81	2.77	2.69	1.34	1.08	1.78	3.06	3.10	8.04	6.82	0.438	СЕРЕДНЬОЮ					
0.18	4	 формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	1		0.40	0.34	0.49	0.29	0.32	0.51	0.37	0.47	0.50	0.81	0.450	4.05	2.68	3.89	1.75	1.92	3.07	3.72	3.78	4.98	7.27	0.458	СЕРЕДНЬОЮ					
0.19	5	 відмова команди виконавців від CASE-засобів розроблення ПЗ;	1		0.68	0.27	0.20	0.24	0.20	0.54	0.25	0.42	0.77	0.83	0.440	6.78	2.17	1.63	1.46	1.17	3.26	2.55	3.33	7.68	7.43	0.463	СЕРЕДНЬОЮ					
