функціональні характеристики ПЗ,	0.85
характеристики якості ПЗ,	0.94
характеристики надійності ПЗ,	0.45
застосовність ПЗ,	0.45
часова продуктивність ПЗ,	0.55
супроводжуваність ПЗ,	0.72
повторне використання компонент ПЗ;	0.13
обмеження сумарного бюджету на програмний проект,	0.91
недоступна вартість реалізації програмного проекту,	0.12
низька ступінь реалізму при оцінюванні витрат на програмний проект;	0.09
властивості та можливості гнучкості внесення змін до планів життєвого циклу розроблення ПЗ,	0.23
можливості порушення встановлених термінів реалізації етапів життєвого циклу розроблення ПЗ,	0.71
низька ступінь реалізму при встановленні планів і етапів життєвого циклу розроблення ПЗ;	0.95
хибна стратегія реалізації програмного проекту,	0.47
неефективне планування проекту розроблення ПЗ,	0.56
неякісне оцінювання програмного проекту,	0.72
прогалини в документуванні етапів реалізації програмного проекту,	0.97
промахи в прогнозуванні результатів реалізації програмного проекту.	0.69
